"response_id","training_index","training_name","training_audience__selected_choice_undergraduate_students","training_audience__selected_choice_taught_masters_students","training_audience__selected_choice_ph_d_students","training_audience__selected_choice_research_staff","training_audience__selected_choice_technical_staff","training_audience__selected_choice_others_outside_of_he","training_audience__selected_choice_other","training_audience__other_text","training_type_part_of_a_degree_s_curricula_core","training_type_part_of_a_dregree_s_curricula_optional","training_type_formal_training_e_g_course_or_workshop_must_be_taken_before_access_hpc_services","training_type_informal_training_e_g_course_or_workshop_can_be_taken_by_anyone_wanting_to_learn_about_hpc_services","training_certificate","training_delivery","training_format_mode__workshop","training_format_mode__lecture","training_format_mode__lab","training_format_mode__q_a","training_format_mode__other","training_format_mode__other_text","training_role_educator_lead_i_e_teaching_classes_or_workshops","training_role_educator_support_i_e_providing_support_to_students_during_a_class_or_course","training_role_technical_support_i_e_providing_support_through_office_hours_troubleshooting","training_role_back_office_support_i_e_managing_infrastructure","training_role_developing_resources_i_e_writing_software_technical_documentation","training_tasks__preparing_teaching_materials","training_tasks__choosing_the_right_infrastructure_or_technological_stack","training_tasks__setting_up_the_infrastructure_or_technological_stack","training_tasks__assessing_marking_student_s_assignments_exercises","training_tasks__replying_students_questions","training_tasks__defining_the_learning_outcomes","training_technology_importance__using_the_newest_technology_available","training_technology_importance__using_what_that_industry_demands","training_technology_importance__having_a_licence_provided_by_my_employer","training_technology_importance__using_a_technology_that_is_reasonably_priced","training_technology_importance__using_a_technology_that_is_free_libre_open_source","training_technology_importance__using_a_technology_that_is_aligned_with_the_course_s_content","training_technology_importance__using_a_technology_that_enables_me_to_deliver_the_teaching_as_i_think_is_best","training_technology_importance__using_a_technology_that_students_can_replicate","training_technology_importance__using_a_technology_that_does_not_require_set_up","training_technology_importance__using_a_technology_that_doesn_t_have_platform_lock_in","training_drc_taught__selected_choice_a_technology_programming_language_or_software","training_drc_taught__selected_choice_a_platform_or_service_azure_chat_gtp_aws","training_drc_taught__selected_choice_a_workflow_to_do_certain_tasks","training_drc_taught__selected_choice_a_concept","training_drc_taught__selected_choice_a_technique_or_method","training_drc_taught__selected_choice_a_hardware_device","training_drc_taught__selected_choice_other","training_drc_taught__other_text","training_technology_name","training_direct_framework_mapping_data_science_application_of_analytical_statistical_or_machine_learning_techniques_to_extract_insight_and_value_from_complex_or_large_datasets_big_data","training_direct_framework_mapping_data_management_understanding_and_implementation_of_practices_for_data_management_quality_accessibility_stewardship_and_compliance_across_data_lifecycle","training_direct_framework_mapping_web_mobile_development_design_and_development_of_responsive_secure_and_user_centric_applications_across_web_and_mobile_platforms","training_direct_framework_mapping_software_engineering_methodologies_tools_application_of_structured_approaches_theory_and_supporting_tools_to_plan_develop_test_and_maintain_high_quality_software_systems_efficiently","training_direct_framework_mapping_software_computer_science_concepts_theory_foundational_knowledge_of_computational_principles_and_algorithms_that_inform_software_design_development_and_performance","training_direct_framework_mapping_user_interface_user_experience_ui_ux_design_creating_intuitive_inclusive_and_engaging_digital_experiences_through_thoughtful_design_and_user_centered_practices","training_direct_framework_mapping_hpc_infrastructure_knowledge_of_high_performance_computing_systems_and_practices_that_support_intensive_computational_research_and_large_scale_simulations","training_direct_framework_mapping_web_infrastructure_design_deployment_and_maintenance_of_the_technologies_that_support_robust_scalable_and_secure_online_platforms_and_services","training_direct_framework_mapping_cloud_infrastructure_expertise_in_leveraging_cloud_platforms_to_enable_flexible_scalable_and_cost_effective_computing_storage_and_data_services","training_direct_framework_mapping_general_systems_infrastructure_broad_understanding_of_digital_infrastructure_including_hardware_networks_and_system_integration_that_supports_everyday_operations_and_research","training_direct_framework_mapping_personal_skills_self_management_capabilities_such_as_initiative_adaptability_resilience_time_management_and_a_commitment_to_continuous_learning","training_direct_framework_mapping_interprersonal_skills_ability_to_build_rapport_demonstrate_empathy_navigate_social_dynamics_and_communicate_effectively_in_diverse_professional_settings","training_direct_framework_mapping_teamwork_and_collaboration_working_constructively_and_inclusively_with_others_to_achieve_shared_goals_contribute_to_group_problem_solving_and_foster_a_positive_team_culture","training_direct_framework_mapping_people_team_management_guiding_and_supporting_individuals_and_teams_to_achieve_their_potential_with_attention_to_wellbeing_performance_and_professional_growth","training_direct_framework_mapping_project_management_planning_coordinating_and_delivering_projects_effectively_within_defined_scope_time_and_resource_constraints_while_managing_risk_and_quality","training_direct_framework_mapping_domain_knowledge_deep_understanding_of_the_concepts_challenges_and_methodologies_specific_to_a_particular_scientific_field","training_direct_framework_mapping_research_skills_conducting_rigorous_inquiry_including_problem_formulation_experimental_design_critical_analysis_and_dissemination_of_findings","training_direct_framework_mapping_verbal_written_communication_articulating_complex_ideas_clearly_and_effectively_through_a_range_of_formats_and_for_varied_audiences","training_direct_framework_mapping_community_outreach_engaging_with_wider_communities_through_knowledge_sharing_collaboration_and_public_engagement_to_increase_the_visibility_and_impact_of_work","training_direct_framework_mapping_training_designing_and_delivering_effective_learning_experiences_that_build_skills_transfer_knowledge_and_support_capacity_and_capability_development_across_audiences","training_days","training_hours","training_homework","training_assessment","training_requirements_using_a_local_environment_student_s_machines","training_requirements_using_a_local_environment_university_equipment","training_requirements_using_a_cloud_environment","training_requirements_using_on_premises_hpc","training_requirements_accessing_an_hpc_remotely","training_requirements_subscription_licence_to_a_service_or_software","training_ai_teacher_no_gen_ai_was_not_available_when_i_prepared_this_training","training_ai_teacher_no_i_do_not_want_to_use_gen_ai","training_ai_teacher_yes_to_design_the_course","training_ai_teacher_yes_for_other_uses","training_ai_teacher_more","training_ai_teacher_refusal__selected_choice_because_there_s_no_gen_ai_good_enough_for_this","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_its_reliability","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_sustainability","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_extractivism","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_academic_integrity","training_ai_teacher_refusal__selected_choice_other","training_ai_teacher_refusal__other_text","training_ai_students","training_ai_students_refusal_because_that_would_prevent_them_from_learning","training_ai_students_refusal_because_i_m_concerned_about_its_reliability","training_ai_students_refusal_because_i_m_concerned_about_sustainability","training_ai_students_refusal_because_i_m_concerned_about_extractivism","training_ai_students_refusal_because_i_m_concerned_about_academic_integrity","more_training","training_ai_students_refusal_because_there_s_no_gen_ai_good_enough_for_this"
"R_8ymh3CbV0xhi97P","1","Git, GitHub and GitKraken",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","Not available","Not available","I was involved","Not available",NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,NA,NA,NA,"10",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software","a platform or service (Azure, ChatGTP, AWS, ...)","a workflow to do certain tasks",NA,NA,NA,NA,NA,"Git, GitHub, GitKraken",NA,"Data Management: Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle",NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","Yes","No","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"Yes, let me answer again for another section.",NA
"R_8ymh3CbV0xhi97P","2","Testing and Continuous Integration",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person",NA,NA,"I was involved",NA,NA,NA,NA,"Educator (support) (i.e. providing support to students during a class or course)",NA,NA,NA,"10",NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software","a platform or service (Azure, ChatGTP, AWS, ...)",NA,NA,NA,NA,NA,NA,"Pytest, GitHub",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","No","No","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2fIeITO7Dy6yGOn","1","Git, GitHub through GitKraken: Zero to Hero",NA,NA,"PhD students","Research staff","Technical staff",NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)",NA,NA,NA,"25",NA,NA,NA,"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,NA,NA,NA,NA,NA,NA,"Git for version control",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","No","No","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,NA,NA,"No, genAI was not available when I prepared this training","No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Other","Relying on generative ""ai"" tools is folly. They are made freely available now in the hope that people will become reliant/dependent on them. Its like a drug dealers trick to get people addicted. Further the tools are not Free Open Source Software (FOSS) so do not align with my chosen philosophy of software usage.","This training was before AI's emergence",NA,NA,NA,NA,NA,"Yes, let me answer again for another section.",NA
"R_2fIeITO7Dy6yGOn","2","Git With It",NA,NA,"PhD students",NA,"Technical staff",NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)",NA,NA,NA,"100","24","30",NA,"25","30","Slightly important","Slightly important","Not at all important","Not at all important","Extremely important","Moderately important","Moderately important","Very important","Not at all important","Very important","a technology, programming language or software",NA,NA,NA,NA,NA,NA,NA,"Intermediate level version control with Git",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","8","No","No","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Other","I have no desire to use exploitative generative ""ai"". The tools are offered freely in the hope that people use and become reliant/dependant on them. In this regard it is akin to drug dealers enticing new users in. Further the tools are not Free Open Source Software so do not align with my philosophy of software usage.","Students were asked not to use AI","Because that would prevent them from learning","Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2exge8Dm9oNTwpm","1","Building Better Research Software",NA,NA,"PhD students","Research staff",NA,NA,"Other","Research masters students",NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","Yes","In person","I was involved","Not available","Not available","Not available",NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,NA,"60","0","10",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,"a workflow to do certain tasks","a concept","a technique or method",NA,NA,NA,"Python, Git, Visual Studio Code",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently","Software/computer science concepts & theory: Foundational knowledge of computational principles and algorithms that inform software design, development and performance",NA,NA,NA,NA,NA,"Personal skills: Self-management capabilities such as initiative, adaptability, resilience, time management, and a commitment to continuous learning.",NA,"Teamwork and collaboration: Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving, and foster a positive team culture",NA,"Project management: Planning, coordinating, and delivering projects effectively within defined scope, time, and resource constraints, while managing risk and quality",NA,NA,NA,NA,NA,"4","14","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,NA,NA,NA,NA,"Other","It would have taken more time","Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_8bVq0T5s5ZohFva","1","Version control for research",NA,NA,"PhD students",NA,NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,"Developing resources (i.e. writing software, technical documentation...)","70",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other","a tool","git  / GitHub (version control)",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This training was before AI's emergence",NA,NA,NA,NA,NA,"Yes, let me answer again for another section.",NA
"R_8bVq0T5s5ZohFva","2","Tools for Reproducible Research",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,NA,"90","3","3",NA,NA,"0","Not at all important","Not at all important","Not at all important","Not at all important","Extremely important","Extremely important","Not at all important","Not at all important","Not at all important","Not at all important",NA,NA,NA,"a concept",NA,NA,"other","best practices",NA,NA,"Data Management: Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle",NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This training was before AI's emergence",NA,NA,NA,NA,NA,"Yes, let me answer again for another section.",NA
"R_8bVq0T5s5ZohFva","3","FAIR2 for Research Software",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","Other staff was involved","Other staff was involved",NA,NA,NA,NA,NA,"Educator (support) (i.e. providing support to students during a class or course)","Technical support (i.e. providing support through office hours, troubleshooting...)","Back office support (i.e. managing infrastructure)",NA,"14","0","0",NA,"6","77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a workflow to do certain tasks","a concept","a technique or method",NA,"other","best practices",NA,NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5","33","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,NA,NA,NA,NA,"Other","I didn't consider it to be an option at the time","Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_8Mp725YzeVdXuhz","1","Software Carpentry for local researchers",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","I was involved","Not available","I was involved",NA,NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)",NA,NA,NA,"20",NA,NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,"a workflow to do certain tasks","a concept",NA,NA,NA,NA,"bash, python, git","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)",NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,"Teamwork and collaboration: Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving, and foster a positive team culture",NA,NA,NA,"Research skills: Conducting rigorous inquiry, including problem formulation, experimental design, critical analysis, and dissemination of findings",NA,NA,NA,"2","12","Yes","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability",NA,"Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Other","I think one needs to have an intimate understanding of the training materials and this would be undercut by using genAI.","Students were asked not to use AI","Because that would prevent them from learning","Because I'm concerned about its reliability",NA,NA,"Because I'm concerned about academic integrity","No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_8IguQ4VvBoSPmIQ","1","Data Carpentry Social Sciences",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","Yes","Online","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)","Technical support (i.e. providing support through office hours, troubleshooting...)","Back office support (i.e. managing infrastructure)",NA,"80","13","30",NA,"28","97","Moderately important","Not at all important","Not at all important","Moderately important","Very important","Extremely important","Extremely important","Extremely important","Slightly important","Very important","a technology, programming language or software",NA,NA,NA,NA,NA,NA,NA,"R","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)","Data Management: Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","16","No","No","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,NA,NA,"No, genAI was not available when I prepared this training","No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity",NA,NA,"This training was before AI's emergence",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2d0OcQcvAnGYhB1","1","Introduction to Reprodiucible Research",NA,NA,"PhD students",NA,NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","I was involved","Not available","I was involved","Not available",NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,"Developing resources (i.e. writing software, technical documentation...)","25","24","10",NA,"60","10","Slightly important","Not at all important","Not at all important","Not at all important","Extremely important","Extremely important","Very important","Moderately important","Moderately important","Extremely important",NA,NA,"a workflow to do certain tasks","a concept","a technique or method",NA,NA,NA,NA,"Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)","Data Management: Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle",NA,NA,NA,NA,NA,NA,NA,"General systems infrastructure: Broad understanding of digital infrastructure - including hardware, networks, and system integration that supports everyday operations and research","Personal skills: Self-management capabilities such as initiative, adaptability, resilience, time management, and a commitment to continuous learning.","Interprersonal skills: Ability to build rapport, demonstrate empathy, navigate social dynamics, and communicate effectively in diverse professional settings","Teamwork and collaboration: Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving, and foster a positive team culture",NA,"Project management: Planning, coordinating, and delivering projects effectively within defined scope, time, and resource constraints, while managing risk and quality",NA,"Research skills: Conducting rigorous inquiry, including problem formulation, experimental design, critical analysis, and dissemination of findings",NA," Community & outreach: Engaging with wider communities through knowledge sharing, collaboration, and public engagement to increase the visibility and impact of work",NA,"1","5","No","No",NA,NA,NA,NA,NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,NA,NA,NA,NA,"Other","It wasn't necessary / I re-used open materials","Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_8s8sUsDOrq0kTAt","1","Research Data Management",NA,NA,"PhD students","Research staff","Technical staff",NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","Online","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,"Developing resources (i.e. writing software, technical documentation...)","100","20","11",NA,"13","79","Not at all important","Moderately important","Not at all important","Extremely important","Extremely important","Extremely important","Very important","Extremely important","Very important","Extremely important",NA,NA,"a workflow to do certain tasks","a concept","a technique or method",NA,NA,NA,NA,NA,"Data Management: Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Research skills: Conducting rigorous inquiry, including problem formulation, experimental design, critical analysis, and dissemination of findings"," Verbal & written communication: Articulating complex ideas clearly and effectively through a range of formats and for varied audiences",NA,NA,"1","4","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,"Because there's no genAI good enough for this","Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Other","Because I develop my ideas better by actively working on them","Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"Yes, let me answer again for another section.",NA
"R_8s8sUsDOrq0kTAt","2","Data management in clinical trials",NA,"taught masters students",NA,NA,NA,NA,NA,NA,"Part of a degree's curricula: core",NA,NA,NA,"Yes","Hybrid","I was involved","I was involved","Not available","I was involved","I was involved","Online asynchronous course materials","Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)","Technical support (i.e. providing support through office hours, troubleshooting...)",NA,"Developing resources (i.e. writing software, technical documentation...)","100","0","28","100","32","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a concept","a technique or method",NA,NA,NA,NA,NA,"Data Management: Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle",NA,NA,NA," User Interface/User Experience (UI/UX) design: Creating intuitive, inclusive, and engaging digital experiences through thoughtful design and user-centered practices",NA,NA,NA,NA,"Personal skills: Self-management capabilities such as initiative, adaptability, resilience, time management, and a commitment to continuous learning.","Interprersonal skills: Ability to build rapport, demonstrate empathy, navigate social dynamics, and communicate effectively in diverse professional settings","Teamwork and collaboration: Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving, and foster a positive team culture",NA,"Project management: Planning, coordinating, and delivering projects effectively within defined scope, time, and resource constraints, while managing risk and quality","Domain knowledge: Deep understanding of the concepts, challenges, and methodologies specific to a particular scientific field","Research skills: Conducting rigorous inquiry, including problem formulation, experimental design, critical analysis, and dissemination of findings"," Verbal & written communication: Articulating complex ideas clearly and effectively through a range of formats and for varied audiences",NA,NA,"10","44","Yes","Yes","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training","No, I do not want to use genAI",NA,NA,NA,"Because there's no genAI good enough for this","Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Other","Because I develop my ideas by working closely with the material I'm developing ","Students were asked not to use AI","Because that would prevent them from learning","Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Yes, let me answer again for another section.","Because there's no genAI good enough for this"
"R_8s8sUsDOrq0kTAt","3","Clinician coders",NA,NA,NA,"Research staff",NA,NA,"Other","Clinicians who are considering undertaking research",NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","Not available","Not available","Not available","Not available",NA,NA,"Educator (support) (i.e. providing support to students during a class or course)",NA,NA,NA,"20","0",NA,NA,"51","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,NA,NA,NA,NA,NA,NA,"R and RStudio","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Research skills: Conducting rigorous inquiry, including problem formulation, experimental design, critical analysis, and dissemination of findings",NA,NA,NA,"2","8","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,"Because there's no genAI good enough for this","Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Other","Most of the training had already been developed by others, so we were mainly just delivering the course, with a few adaptations","Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2QmyLZApz2uxSoh","1","Research Software Engineering Skills for Researchers",NA,"taught masters students","PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","I was involved",NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,NA,"70","7","16",NA,NA,"7","Not at all important","Slightly important","Not at all important","Very important","Extremely important","Extremely important","Very important","Extremely important","Moderately important","Extremely important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2OHZIvbB43LOqFv","1","Introduction to Conda",NA,"taught masters students","PhD students","Research staff","Technical staff",NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","I was involved","Not available","I was involved",NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,"Technical support (i.e. providing support through office hours, troubleshooting...)",NA,"Developing resources (i.e. writing software, technical documentation...)","74","34","33",NA,"23","29","Moderately important","Moderately important","Not at all important","Very important","Very important","Extremely important","Very important","Extremely important","Slightly important","Moderately important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
